<<<<<<< HEAD
relationship_id,source_asset_id,target_asset_id,relationship_type
R001,A001,A002,contains
R002,A001,A003,contains
R003,A001,A004,contains
R004,A002,A005,feeds
R005,A003,A006,feeds
R006,A005,A007,loads
R007,A006,A007,loads
R008,A007,A008,feeds
R009,A007,A009,feeds
R010,A010,A011,contains
R011,A010,A012,contains
R012,A010,A013,contains
R013,A011,A014,feeds
R014,A012,A015,feeds
R015,A014,A016,loads
R016,A015,A016,loads
R017,A016,A017,feeds
R018,A016,A018,feeds
R019,A019,A020,contains
R020,A019,A021,contains
R021,A019,A022,contains
R022,A020,A023,feeds
R023,A021,A024,feeds
R024,A023,A025,loads
R025,A024,A025,loads
R026,A025,A026,feeds
R027,A025,A027,feeds
R028,A028,A029,contains
R029,A028,A030,contains
R030,A028,A031,contains
R031,A029,A032,feeds
R032,A030,A033,feeds
R033,A032,A034,loads
R034,A033,A034,loads
R035,A034,A035,feeds
R036,A034,A036,feeds
R037,A037,A038,contains
R038,A037,A039,contains
R039,A037,A040,contains
R040,A038,A041,feeds
R041,A039,A042,feeds
R042,A041,A043,loads
R043,A042,A043,loads
R044,A043,A044,feeds
R045,A043,A045,feeds
R046,A046,A047,contains
R047,A046,A048,contains
R048,A046,A049,contains
R049,A047,A050,feeds
R050,A048,A051,feeds
R051,A050,A052,loads
R052,A051,A052,loads
R053,A052,A053,feeds
R054,A052,A054,feeds
R055,A055,A056,contains
R056,A055,A057,contains
R057,A055,A058,contains
R058,A056,A059,feeds
R059,A057,A060,feeds
R060,A059,A061,loads
R061,A060,A061,loads
R062,A061,A062,feeds
R063,A061,A063,feeds
R064,A064,A065,contains
R065,A064,A066,contains
R066,A064,A067,contains
R067,A065,A068,feeds
R068,A066,A069,feeds
R069,A068,A070,loads
R070,A069,A070,loads
R071,A070,A071,feeds
R072,A070,A072,feeds
R073,A073,A074,contains
R074,A073,A075,contains
R075,A073,A076,contains
R076,A074,A077,feeds
R077,A075,A078,feeds
R078,A077,A079,loads
R079,A078,A079,loads
R080,A079,A080,feeds
R081,A079,A081,feeds
R082,A082,A083,contains
R083,A082,A084,contains
R084,A082,A085,contains
R085,A083,A086,feeds
R086,A084,A087,feeds
R087,A086,A088,loads
R088,A087,A088,loads
R089,A088,A089,feeds
R090,A088,A090,feeds
R091,A007,A062,depends_on
R092,A007,A088,depends_on
R093,A016,A088,depends_on
R094,A016,A062,depends_on
R095,A034,A062,depends_on
R096,A034,A052,depends_on
R097,A079,A052,depends_on
R098,A052,A070,depends_on
R099,A043,A088,depends_on
R100,A025,A088,depends_on
R101,A002,A059,feeds
R102,A012,A086,feeds
R103,A029,A050,feeds
R104,A074,A051,feeds
R105,A039,A087,feeds
R106,A048,A068,feeds
=======
source_asset_id,target_asset_id,relationship_type
A001,A002,contains
A002,A003,feeds
A003,A004,loads
A004,A005,feeds
A006,A007,contains
A007,A008,feeds
A008,A009,loads
A009,A010,feeds
A011,A012,contains
A012,A013,feeds
A013,A014,loads
A014,A015,feeds
>>>>>>> ea7ea9750b30b61a0cb7ee0b057e6defee960cca
